Account,Month,Trx,# Speaker Programs,# Calls,# PDE,# Emails,# Clicks,# Samples
A3B012,13,????,0,1,9,23,8,6
A3B012,14,????,1,1,9,29,13,12
A3B012,15,????,0,1,9,23,8,6
A3B012,16,????,0,1,9,23,8,6
A3B012,17,????,1,1,9,29,13,12
A3B012,18,????,1,1,9,29,13,12
A4B012,1,660,0,1,9,23,8,6
A4B012,2,660,0,1,9,23,8,6
A4B012,3,660,0,1,9,23,8,6
A4B012,4,660,0,1,9,23,8,6
A4B012,5,660,0,1,9,23,8,6
A4B012,6,660,0,1,9,23,8,6
A4B012,7,660,0,1,9,23,8,6
A4B012,8,660,0,1,9,23,8,6
A4B012,9,660,0,1,9,23,8,6
A4B012,10,660,0,1,9,23,8,6
A4B012,11,660,1,1,9,29,13,12
A4B012,12,660,0,1,9,23,8,6
A4B012,13,????,0,1,9,23,8,6
A4B012,14,????,0,1,9,23,8,6
A4B012,15,????,0,1,9,23,8,6
A4B012,16,????,0,1,9,23,8,6
A4B012,17,????,0,1,9,23,8,6
A4B012,18,????,0,1,9,23,8,6
A5B012,1,660,1,1,9,29,13,12
A5B012,2,660,0,1,9,23,8,6
A5B012,3,660,1,1,9,29,13,12
A5B012,4,660,1,1,9,29,13,12
A5B012,5,660,1,1,9,29,13,12
A5B012,6,660,0,1,9,23,8,6
A5B012,7,660,2,1,10,31,15,17
A5B012,8,660,3,1,10,32,16,19
A5B012,9,660,0,1,9,23,8,6
A5B012,10,660,3,1,10,32,16,19
A5B012,11,660,0,1,9,23,8,6
A5B012,12,660,2,1,10,31,15,17
A5B012,13,????,0,1,9,23,8,6
A5B012,14,????,0,1,9,23,8,6
A5B012,15,????,1,1,9,29,13,12
A5B012,16,????,1,1,9,29,13,12
A5B012,17,????,0,1,9,23,8,6
A5B012,18,????,0,1,9,23,8,6
A6B012,1,1455,2,1,10,31,15,17
A6B012,2,660,2,1,10,31,15,17
A6B012,3,6822,1,1,9,29,13,12
A6B012,4,5116,4,1,10,33,17,20
A6B012,5,660,2,1,10,31,15,17
A6B012,6,5983,1,1,9,29,13,12
A6B012,7,3636,4,1,10,33,17,20
A6B012,8,5836,2,1,10,31,15,17
A6B012,9,1854,1,1,9,29,13,12
A6B012,10,8335,2,1,10,31,15,17
A6B012,11,6728,1,1,9,29,13,12
A6B012,12,4733,1,1,9,29,13,12
A6B012,13,????,1,1,9,29,13,12
A6B012,14,????,0,1,9,23,8,6
A6B012,15,????,1,1,9,29,13,12
A6B012,16,????,0,1,9,23,8,6
A6B012,17,????,0,1,9,23,8,6
A6B012,18,????,0,1,9,23,8,6
A7B012,1,660,0,1,9,23,8,6
A7B012,2,660,0,1,9,23,8,6
A7B012,3,660,0,1,9,23,8,6
A7B012,4,660,0,1,9,23,8,6
A7B012,5,660,0,1,9,23,8,6
A7B012,6,660,0,1,9,23,8,6
A7B012,7,660,0,1,9,23,8,6
A7B012,8,660,0,1,9,23,8,6
A7B012,9,660,0,1,9,23,8,6
A7B012,10,660,1,8,10,35,19,51
A7B012,11,660,0,1,9,23,8,6
A7B012,12,660,0,1,9,23,8,6
A7B012,13,????,1,1,9,29,13,12
A7B012,14,????,0,1,9,23,8,6
A7B012,15,????,0,1,9,23,8,6
A7B012,16,????,1,1,9,29,13,12
A7B012,17,????,0,1,9,23,8,6
A7B012,18,????,1,1,9,29,13,12
A8B012,1,8035,2,16,12,39,26,150
A8B012,2,5110,3,1,10,32,16,19
A8B012,3,5290,2,1,10,31,15,17
A8B012,4,6529,3,1,10,32,16,19
A8B012,5,6772,3,12,11,39,25,108
A8B012,6,5140,1,1,9,29,13,12
A8B012,7,6445,1,1,9,29,13,12
A8B012,8,7988,1,1,9,29,13,12
A8B012,9,3394,3,1,10,32,16,19
A8B012,10,6457,3,14,12,39,26,134
A8B012,11,4223,1,1,9,29,13,12
A8B012,12,5935,1,14,11,36,21,95
A8B012,13,????,1,1,9,29,13,12
A8B012,14,????,2,8,11,37,23,70
A8B012,15,????,2,1,10,31,15,17
A8B012,16,????,1,1,9,29,13,12
A8B012,17,????,3,8,11,38,24,76
A8B012,18,????,3,12,11,39,25,108
A9B012,1,1107,3,1,10,32,16,19
A9B012,2,3278,5,16,12,41,29,176
A9B012,3,660,4,12,11,39,25,108
A9B012,4,660,2,1,10,31,15,17
A9B012,5,1236,3,1,10,32,16,19
A9B012,6,4731,3,1,10,32,16,19
A9B012,7,2043,4,1,10,33,17,20
A9B012,8,660,4,1,10,33,17,20
A9B012,9,3464,3,1,10,32,16,19
A9B012,10,3868,6,12,12,41,29,140
A9B012,11,1124,3,12,11,39,25,108
A9B012,12,5091,2,1,10,31,15,17
A9B012,13,????,5,1,10,33,17,20
A9B012,14,????,4,1,10,33,17,20
A9B012,15,????,2,1,10,31,15,17
A9B012,16,????,4,14,12,40,28,148
A9B012,17,????,3,12,11,39,25,108
A9B012,18,????,5,1,10,33,17,20
A10B012,1,660,0,1,9,23,8,6
A10B012,2,660,1,1,9,29,13,12
A10B012,3,660,0,1,9,23,8,6
A10B012,4,660,0,1,9,23,8,6
A10B012,5,660,1,1,9,29,13,12
A10B012,6,660,3,1,10,32,16,19
A10B012,7,660,1,1,9,29,13,12
A10B012,8,660,0,1,9,23,8,6
A10B012,9,660,1,1,9,29,13,12
A10B012,10,660,1,1,9,29,13,12
A10B012,11,660,1,1,9,29,13,12
A10B012,12,660,1,1,9,29,13,12
A10B012,13,????,3,1,10,32,16,19
A10B012,14,????,1,1,9,29,13,12
A10B012,15,????,0,1,9,23,8,6
A10B012,16,????,1,1,9,29,13,12
A10B012,17,????,0,1,9,23,8,6
A10B012,18,????,1,1,9,29,13,12
A11B012,1,2787,0,1,9,23,8,6
A11B012,2,660,1,1,9,29,13,12
A11B012,3,360,1,1,9,29,13,12
A11B012,4,1390,1,1,9,29,13,12
A11B012,5,2254,0,1,9,23,8,6
A11B012,6,1137,0,1,9,23,8,6
A11B012,7,311,0,1,9,23,8,6
A11B012,8,2781,1,1,9,29,13,12
A11B012,9,432,0,1,9,23,8,6
A11B012,10,864,1,1,9,29,13,12
A11B012,11,1702,0,1,9,23,8,6
A11B012,12,847,0,1,9,23,8,6
A11B012,13,????,0,1,9,23,8,6
A11B012,14,????,0,1,9,23,8,6
A11B012,15,????,0,1,9,23,8,6
A11B012,16,????,1,1,9,29,13,12
A11B012,17,????,0,1,9,23,8,6
A11B012,18,????,0,1,9,23,8,6
A12B012,1,660,0,1,9,23,8,6
A12B012,2,660,0,1,9,23,8,6
A12B012,3,660,1,1,9,29,13,12
A12B012,4,660,1,1,9,29,13,12
A12B012,5,660,0,1,9,23,8,6
A12B012,6,660,0,1,9,23,8,6
A12B012,7,660,0,1,9,23,8,6
A12B012,8,660,0,1,9,23,8,6
A12B012,9,660,0,1,9,23,8,6
A12B012,10,660,2,1,10,31,15,17
A12B012,11,660,0,1,9,23,8,6
A12B012,12,660,3,1,10,32,16,19
A12B012,13,????,0,1,9,23,8,6
A12B012,14,????,0,1,9,23,8,6
A12B012,15,????,0,1,9,23,8,6
A12B012,16,????,1,1,9,29,13,12
A12B012,17,????,0,1,9,23,8,6
A12B012,18,????,0,1,9,23,8,6
A13B012,1,660,1,1,9,29,13,12
A13B012,2,660,1,1,9,29,13,12
A13B012,3,660,0,1,9,23,8,6
A13B012,4,660,3,1,10,32,16,19
A13B012,5,660,3,1,10,32,16,19
A13B012,6,660,1,1,9,29,13,12
A13B012,7,660,0,1,9,23,8,6
A13B012,8,660,3,1,10,32,16,19
A13B012,9,660,3,1,10,32,16,19
A13B012,10,660,0,1,9,23,8,6
A13B012,11,660,3,1,10,32,16,19
A13B012,12,660,1,1,9,29,13,12
A13B012,13,????,0,1,9,23,8,6
A13B012,14,????,4,1,10,33,17,20
A13B012,15,????,1,1,9,29,13,12
A13B012,16,????,4,1,10,33,17,20
A13B012,17,????,3,1,10,32,16,19
A13B012,18,????,4,1,10,33,17,20
A14B012,1,660,0,1,9,23,8,6
A14B012,2,660,1,1,9,29,13,12
A14B012,3,660,0,1,9,23,8,6
A14B012,4,660,1,1,9,29,13,12
A14B012,5,660,1,1,9,29,13,12
A14B012,6,660,0,1,9,23,8,6
A14B012,7,660,0,1,9,23,8,6
A14B012,8,660,3,1,10,32,16,19
A14B012,9,660,0,1,9,23,8,6
A14B012,10,660,0,1,9,23,8,6
A14B012,11,660,0,1,9,23,8,6
A14B012,12,660,0,1,9,23,8,6
A14B012,13,????,0,1,9,23,8,6
A14B012,14,????,0,1,9,23,8,6
A14B012,15,????,0,1,9,23,8,6
A14B012,16,????,0,1,9,23,8,6
A14B012,17,????,0,1,9,23,8,6
A14B012,18,????,0,1,9,23,8,6
A15B012,1,2907,0,1,9,23,8,6
A15B012,2,2771,0,1,9,23,8,6
A15B012,3,371,0,1,9,23,8,6
A15B012,4,3855,0,1,9,23,8,6
A15B012,5,1342,0,1,9,23,8,6
A15B012,6,3094,0,1,9,23,8,6
A15B012,7,2049,0,1,9,23,8,6
A15B012,8,2371,0,1,9,23,8,6
A15B012,9,2622,0,1,9,23,8,6
A15B012,10,971,0,1,9,23,8,6
A15B012,11,2201,0,1,9,23,8,6
A15B012,12,3249,0,1,9,23,8,6
A15B012,13,????,0,1,9,23,8,6
A15B012,14,????,0,1,9,23,8,6
A15B012,15,????,0,1,9,23,8,6
A15B012,16,????,0,1,9,23,8,6
A15B012,17,????,0,1,9,23,8,6
A15B012,18,????,0,1,9,23,8,6
A16B012,1,660,2,1,10,31,15,17
A16B012,2,660,2,1,10,31,15,17
A16B012,3,660,4,1,10,33,17,20
A16B012,4,660,2,16,12,39,26,150
A16B012,5,660,3,1,10,32,16,19
A16B012,6,660,1,1,9,29,13,12
A16B012,7,660,2,1,10,31,15,17
A16B012,8,660,3,1,10,32,16,19
A16B012,9,660,3,14,12,39,26,134
A16B012,10,660,5,22,13,42,32,278
A16B012,11,660,3,1,10,32,16,19
A16B012,12,660,1,1,9,29,13,12
A16B012,13,????,1,1,9,29,13,12
A16B012,14,????,3,12,11,39,25,108
A16B012,15,????,1,1,9,29,13,12
A16B012,16,????,5,18,12,41,29,195
A16B012,17,????,1,14,11,36,21,95
A16B012,18,????,4,14,12,40,28,148
A17B012,1,660,0,1,9,23,8,6
A17B012,2,660,0,1,9,23,8,6
A17B012,3,849,1,1,9,29,13,12
A17B012,4,660,1,1,9,29,13,12
A17B012,5,660,1,1,9,29,13,12
A17B012,6,1507,3,1,10,32,16,19
A17B012,7,660,3,1,10,32,16,19
A17B012,8,801,0,1,9,23,8,6
A17B012,9,660,0,1,9,23,8,6
A17B012,10,1768,3,1,10,32,16,19
A17B012,11,660,3,1,10,32,16,19
A17B012,12,871,0,1,9,23,8,6
A17B012,13,????,1,1,9,29,13,12
A17B012,14,????,1,1,9,29,13,12
A17B012,15,????,2,1,10,31,15,17
A17B012,16,????,0,1,9,23,8,6
A17B012,17,????,0,1,9,23,8,6
A17B012,18,????,1,1,9,29,13,12
A18B012,1,660,0,1,9,23,8,6
A18B012,2,660,0,1,9,23,8,6
A18B012,3,660,0,1,9,23,8,6
A18B012,4,660,0,1,9,23,8,6
A18B012,5,324,0,1,9,23,8,6
A18B012,6,207,0,1,9,23,8,6
A18B012,7,660,0,1,9,23,8,6
A18B012,8,660,0,1,9,23,8,6
A18B012,9,660,0,1,9,23,8,6
A18B012,10,660,0,1,9,23,8,6
A18B012,11,660,0,1,9,23,8,6
A18B012,12,660,0,1,9,23,8,6
A18B012,13,????,0,1,9,23,8,6
A18B012,14,????,0,1,9,23,8,6
A18B012,15,????,0,1,9,23,8,6
A18B012,16,????,0,1,9,23,8,6
A18B012,17,????,0,1,9,23,8,6
A18B012,18,????,0,1,9,23,8,6
A19B012,1,3379,0,1,9,23,8,6
A19B012,2,3075,4,1,10,33,17,20
A19B012,3,2764,2,1,10,31,15,17
A19B012,4,660,1,1,9,29,13,12
A19B012,5,660,0,1,9,23,8,6
A19B012,6,660,1,1,9,29,13,12
A19B012,7,660,1,1,9,29,13,12
A19B012,8,660,0,1,9,23,8,6
A19B012,9,660,1,1,9,29,13,12
A19B012,10,5877,1,1,9,29,13,12
A19B012,11,5409,0,1,9,23,8,6
A19B012,12,660,1,1,9,29,13,12
A19B012,13,????,1,1,9,29,13,12
A19B012,14,????,1,14,11,36,21,95
A19B012,15,????,1,14,11,36,21,95
A19B012,16,????,1,1,9,29,13,12
A19B012,17,????,0,1,9,23,8,6
A19B012,18,????,0,1,9,23,8,6
A20B012,1,660,1,1,9,29,13,12
A20B012,2,660,4,1,10,33,17,20
A20B012,3,660,4,1,10,33,17,20
A20B012,4,660,4,1,10,33,17,20
A20B012,5,660,3,1,10,32,16,19
A20B012,6,660,5,16,12,41,29,176
A20B012,7,660,4,8,11,38,24,76
A20B012,8,660,9,14,12,42,31,173
A20B012,9,660,3,1,10,32,16,19
A20B012,10,660,3,1,10,32,16,19
A20B012,11,660,5,1,10,33,17,20
A20B012,12,660,10,1,11,35,20,29
A20B012,13,????,1,1,9,29,13,12
A20B012,14,????,1,12,11,36,21,83
A20B012,15,????,4,8,11,38,24,76
A20B012,16,????,2,1,10,31,15,17
A20B012,17,????,1,8,10,35,19,51
A20B012,18,????,1,1,9,29,13,12
A21B012,1,660,2,1,10,31,15,17
A21B012,2,660,1,1,9,29,13,12
A21B012,3,660,1,8,10,35,19,51
A21B012,4,660,0,1,9,23,8,6
A21B012,5,660,2,16,12,39,26,150
A21B012,6,660,1,1,9,29,13,12
A21B012,7,660,2,8,11,37,23,70
A21B012,8,660,0,1,9,23,8,6
A21B012,9,660,1,1,9,29,13,12
A21B012,10,660,1,1,9,29,13,12
A21B012,11,660,0,1,9,23,8,6
A21B012,12,660,0,1,9,23,8,6
A21B012,13,????,1,1,9,29,13,12
A21B012,14,????,2,1,10,31,15,17
A21B012,15,????,1,1,9,29,13,12
A21B012,16,????,1,1,9,29,13,12
A21B012,17,????,1,1,9,29,13,12
A21B012,18,????,1,1,9,29,13,12
A22B012,1,660,0,1,9,23,8,6
A22B012,2,1123,1,1,9,29,13,12
A22B012,3,495,0,1,9,23,8,6
A22B012,4,660,0,1,9,23,8,6
A22B012,5,4661,1,1,9,29,13,12
A22B012,6,660,0,1,9,23,8,6
A22B012,7,3406,0,1,9,23,8,6
A22B012,8,660,0,1,9,23,8,6
A22B012,9,1454,0,1,9,23,8,6
A22B012,10,2068,0,1,9,23,8,6
A22B012,11,2214,0,1,9,23,8,6
A22B012,12,660,0,1,9,23,8,6
A22B012,13,????,0,1,9,23,8,6
A22B012,14,????,0,1,9,23,8,6
A22B012,15,????,0,1,9,23,8,6
A22B012,16,????,0,1,9,23,8,6
A22B012,17,????,0,1,9,23,8,6
A22B012,18,????,0,1,9,23,8,6
A23B012,1,660,1,1,9,29,13,12
A23B012,2,660,2,1,10,31,15,17
A23B012,3,660,0,1,9,23,8,6
A23B012,4,660,0,1,9,23,8,6
A23B012,5,660,1,1,9,29,13,12
A23B012,6,660,1,1,9,29,13,12
A23B012,7,660,1,1,9,29,13,12
A23B012,8,660,1,1,9,29,13,12
A23B012,9,660,1,1,9,29,13,12
A23B012,10,660,1,1,9,29,13,12
A23B012,11,660,1,1,9,29,13,12
A23B012,12,1090,0,1,9,23,8,6
A23B012,13,????,1,1,9,29,13,12
A23B012,14,????,1,1,9,29,13,12
A23B012,15,????,0,1,9,23,8,6
A23B012,16,????,0,1,9,23,8,6
A23B012,17,????,0,1,9,23,8,6
A23B012,18,????,0,1,9,23,8,6
A24B012,1,660,2,1,10,31,15,17
A24B012,2,660,3,1,10,32,16,19
A24B012,3,660,2,1,10,31,15,17
A24B012,4,660,4,1,10,33,17,20
A24B012,5,660,3,1,10,32,16,19
A24B012,6,660,1,1,9,29,13,12
A24B012,7,660,3,1,10,32,16,19
A24B012,8,660,5,1,10,33,17,20
A24B012,9,660,3,1,10,32,16,19
A24B012,10,660,4,1,10,33,17,20
A24B012,11,660,3,1,10,32,16,19
A24B012,12,660,1,1,9,29,13,12
A24B012,13,????,3,1,10,32,16,19
A24B012,14,????,1,1,9,29,13,12
A24B012,15,????,1,1,9,29,13,12
A24B012,16,????,5,1,10,33,17,20
A24B012,17,????,1,1,9,29,13,12
A24B012,18,????,5,1,10,33,17,20
A25B012,1,2217,1,1,9,29,13,12
A25B012,2,660,3,1,10,32,16,19
A25B012,3,2099,1,1,9,29,13,12
A25B012,4,660,1,1,9,29,13,12
A25B012,5,660,1,1,9,29,13,12
A25B012,6,660,1,1,9,29,13,12
A25B012,7,660,2,1,10,31,15,17
A25B012,8,660,1,1,9,29,13,12
A25B012,9,660,2,8,11,37,23,70
A25B012,10,660,1,14,11,36,21,95
A25B012,11,709,1,14,11,36,21,95
A25B012,12,1056,0,1,9,23,8,6
A25B012,13,????,0,1,9,23,8,6
A25B012,14,????,0,1,9,23,8,6
A25B012,15,????,1,1,9,29,13,12
A25B012,16,????,0,1,9,23,8,6
A25B012,17,????,0,1,9,23,8,6
A25B012,18,????,1,18,12,37,24,146
A26B012,1,660,0,1,9,23,8,6
A26B012,2,1534,1,1,9,29,13,12
A26B012,3,439,0,1,9,23,8,6
A26B012,4,1895,0,1,9,23,8,6
A26B012,5,660,1,1,9,29,13,12
A26B012,6,660,0,1,9,23,8,6
A26B012,7,2086,1,1,9,29,13,12
A26B012,8,660,0,1,9,23,8,6
A26B012,9,660,1,1,9,29,13,12
A26B012,10,660,0,1,9,23,8,6
A26B012,11,1867,1,1,9,29,13,12
A26B012,12,627,0,1,9,23,8,6
A26B012,13,????,0,1,9,23,8,6
A26B012,14,????,0,1,9,23,8,6
A26B012,15,????,0,1,9,23,8,6
A26B012,16,????,0,1,9,23,8,6
A26B012,17,????,0,1,9,23,8,6
A26B012,18,????,0,1,9,23,8,6
A27B012,1,595,3,1,10,32,16,19
A27B012,2,6619,3,1,10,32,16,19
A27B012,3,5402,1,16,12,37,24,132
A27B012,4,2107,1,18,12,37,24,146
A27B012,5,3815,1,1,9,29,13,12
A27B012,6,5896,1,1,9,29,13,12
A27B012,7,3629,1,16,12,37,24,132
A27B012,8,4699,1,14,11,36,21,95
A27B012,9,3589,3,22,12,41,29,236
A27B012,10,3411,4,8,11,38,24,76
A27B012,11,5959,5,1,10,33,17,20
A27B012,12,4975,0,1,9,23,8,6
A27B012,13,????,3,1,10,32,16,19
A27B012,14,????,3,1,10,32,16,19
A27B012,15,????,2,1,10,31,15,17
A27B012,16,????,3,22,12,41,29,236
A27B012,17,????,2,19,12,39,26,175
A27B012,18,????,2,19,12,39,26,175
A28B012,1,724,2,27,13,40,29,293
A28B012,2,2544,5,1,10,33,17,20
A28B012,3,1894,3,1,10,32,16,19
A28B012,4,2316,3,1,10,32,16,19
A28B012,5,1106,5,1,10,33,17,20
A28B012,6,2205,1,14,11,36,21,95
A28B012,7,1902,3,1,10,32,16,19
A28B012,8,3098,7,1,10,34,18,22
A28B012,9,1597,4,12,11,39,25,108
A28B012,10,2239,3,14,12,39,26,134
A28B012,11,2683,4,1,10,33,17,20
A28B012,12,1761,4,18,12,41,29,195
A28B012,13,????,3,1,10,32,16,19
A28B012,14,????,5,1,10,33,17,20
A28B012,15,????,3,12,11,39,25,108
A28B012,16,????,3,1,10,32,16,19
A28B012,17,????,0,1,9,23,8,6
A28B012,18,????,4,1,10,33,17,20
A29B012,1,660,0,1,9,23,8,6
A29B012,2,660,1,1,9,29,13,12
A29B012,3,660,1,1,9,29,13,12
A29B012,4,660,1,1,9,29,13,12
A29B012,5,660,1,1,9,29,13,12
A29B012,6,660,1,1,9,29,13,12
A29B012,7,660,1,1,9,29,13,12
A29B012,8,660,0,1,9,23,8,6
A29B012,9,660,1,1,9,29,13,12
A29B012,10,660,1,1,9,29,13,12
A29B012,11,660,1,1,9,29,13,12
A29B012,12,660,0,1,9,23,8,6
A29B012,13,????,3,1,10,32,16,19
A29B012,14,????,0,1,9,23,8,6
A29B012,15,????,0,1,9,23,8,6
A29B012,16,????,0,1,9,23,8,6
A29B012,17,????,0,1,9,23,8,6
A29B012,18,????,1,1,9,29,13,12
A30B012,1,660,1,1,9,29,13,12
A30B012,2,660,0,1,9,23,8,6
A30B012,3,660,1,1,9,29,13,12
A30B012,4,2538,0,1,9,23,8,6
A30B012,5,660,0,1,9,23,8,6
A30B012,6,660,1,14,11,36,21,95
A30B012,7,660,1,1,9,29,13,12
A30B012,8,660,3,1,10,32,16,19
A30B012,9,660,1,1,9,29,13,12
A30B012,10,660,0,1,9,23,8,6
A30B012,11,660,3,14,12,39,26,134
A30B012,12,660,3,1,10,32,16,19
A30B012,13,????,1,1,9,29,13,12
A30B012,14,????,1,1,9,29,13,12
A30B012,15,????,0,1,9,23,8,6
A30B012,16,????,3,1,10,32,16,19
A30B012,17,????,1,1,9,29,13,12
A30B012,18,????,1,8,10,35,19,51
A31B012,1,660,2,1,10,31,15,17
A31B012,2,660,1,1,9,29,13,12
A31B012,3,660,1,1,9,29,13,12
A31B012,4,660,1,1,9,29,13,12
A31B012,5,660,1,1,9,29,13,12
A31B012,6,660,1,1,9,29,13,12
A31B012,7,660,1,1,9,29,13,12
A31B012,8,660,0,1,9,23,8,6
A31B012,9,660,0,1,9,23,8,6
A31B012,10,660,2,1,10,31,15,17
A31B012,11,660,0,1,9,23,8,6
A31B012,12,660,1,1,9,29,13,12
A31B012,13,????,0,1,9,23,8,6
A31B012,14,????,0,1,9,23,8,6
A31B012,15,????,0,1,9,23,8,6
A31B012,16,????,0,1,9,23,8,6
A31B012,17,????,0,1,9,23,8,6
A31B012,18,????,0,1,9,23,8,6
A32B012,1,4775,0,1,9,23,8,6
A32B012,2,1385,0,1,9,23,8,6
A32B012,3,1540,3,1,10,32,16,19
A32B012,4,660,0,1,9,23,8,6
A32B012,5,2511,3,1,10,32,16,19
A32B012,6,928,1,1,9,29,13,12
A32B012,7,3294,1,1,9,29,13,12
A32B012,8,4293,0,1,9,23,8,6
A32B012,9,1325,0,1,9,23,8,6
A32B012,10,4298,3,1,10,32,16,19
A32B012,11,3133,1,1,9,29,13,12
A32B012,12,2050,0,1,9,23,8,6
A32B012,13,????,1,1,9,29,13,12
A32B012,14,????,0,1,9,23,8,6
A32B012,15,????,0,1,9,23,8,6
A32B012,16,????,0,1,9,23,8,6
A32B012,17,????,0,1,9,23,8,6
A32B012,18,????,0,1,9,23,8,6
A33B012,1,3645,3,14,12,39,26,134
A33B012,2,5611,3,14,12,39,26,134
A33B012,3,4279,2,1,10,31,15,17
A33B012,4,2639,2,1,10,31,15,17
A33B012,5,4071,1,8,10,35,19,51
A33B012,6,2794,3,12,11,39,25,108
A33B012,7,1288,3,14,12,39,26,134
A33B012,8,4552,4,8,11,38,24,76
A33B012,9,3050,3,1,10,32,16,19
A33B012,10,4002,5,8,11,39,25,81
A33B012,11,2505,5,16,12,41,29,176
A33B012,12,1907,1,1,9,29,13,12
A33B012,13,????,1,1,9,29,13,12
A33B012,14,????,0,1,9,23,8,6
A33B012,15,????,0,1,9,23,8,6
A33B012,16,????,2,16,12,39,26,150
A33B012,17,????,1,8,10,35,19,51
A33B012,18,????,0,1,9,23,8,6
A34B012,1,1014,3,12,11,39,25,108
A34B012,2,449,3,1,10,32,16,19
A34B012,3,660,3,1,10,32,16,19
A34B012,4,660,1,1,9,29,13,12
A34B012,5,1208,1,1,9,29,13,12
A34B012,6,660,1,1,9,29,13,12
A34B012,7,660,1,1,9,29,13,12
A34B012,8,660,1,1,9,29,13,12
A34B012,9,1103,5,12,12,40,28,132
A34B012,10,730,3,1,10,32,16,19
A34B012,11,660,3,14,12,39,26,134
A34B012,12,660,1,1,9,29,13,12
A34B012,13,????,3,1,10,32,16,19
A34B012,14,????,3,12,11,39,25,108
A34B012,15,????,3,1,10,32,16,19
A34B012,16,????,5,1,10,33,17,20
A34B012,17,????,1,1,9,29,13,12
A34B012,18,????,1,8,10,35,19,51
A35B012,1,1950,1,1,9,29,13,12
A35B012,2,660,1,12,11,36,21,83
A35B012,3,3565,3,23,13,41,30,266
A35B012,4,899,8,22,13,43,33,294
A35B012,5,726,2,1,10,31,15,17
A35B012,6,2772,3,1,10,32,16,19
A35B012,7,660,3,1,10,32,16,19
A35B012,8,789,3,1,10,32,16,19
A35B012,9,4256,3,1,10,32,16,19
A35B012,10,3597,2,1,10,31,15,17
A35B012,11,1138,2,12,11,38,24,101
A35B012,12,2637,1,12,11,36,21,83
A35B012,13,????,3,16,12,40,28,166
A35B012,14,????,0,1,9,23,8,6
A35B012,15,????,2,16,12,39,26,150
A35B012,16,????,3,16,12,40,28,166
A35B012,17,????,1,1,9,29,13,12
A35B012,18,????,1,1,9,29,13,12
A36B012,1,660,0,1,9,23,8,6
A36B012,2,660,0,1,9,23,8,6
A36B012,3,660,0,1,9,23,8,6
A36B012,4,660,1,1,9,29,13,12
A36B012,5,660,0,1,9,23,8,6
A36B012,6,660,0,1,9,23,8,6
A36B012,7,660,1,1,9,29,13,12
A36B012,8,660,1,1,9,29,13,12
A36B012,9,660,0,1,9,23,8,6
A36B012,10,660,0,1,9,23,8,6
A36B012,11,660,0,1,9,23,8,6
A36B012,12,660,0,1,9,23,8,6
A36B012,13,????,0,1,9,23,8,6
A36B012,14,????,0,1,9,23,8,6
A36B012,15,????,0,1,9,23,8,6
A36B012,16,????,0,1,9,23,8,6
A36B012,17,????,1,1,9,29,13,12
A36B012,18,????,0,1,9,23,8,6
A37B012,1,2500,1,1,9,29,13,12
A37B012,2,6664,1,14,11,36,21,95
A37B012,3,1538,1,1,9,29,13,12
A37B012,4,7118,1,14,11,36,21,95
A37B012,5,2526,5,1,10,33,17,20
A37B012,6,4137,1,16,12,37,24,132
A37B012,7,3978,1,1,9,29,13,12
